par_4_263,par_4_262,190.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_262,par_4_261,127.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_261,par_4_1,182.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_1,par_4_2,81.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_2,par_4_3,87.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_3,par_4_4,120.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_4,par_4_5,85.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_5,par_4_6,68.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_6,par_4_7,81.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_7,par_4_8,117.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_8,par_4_9,111.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_9,par_4_10,75.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_10,par_4_11,109.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_11,par_4_12,51.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_12,par_4_13,106.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_13,par_4_14,77.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_14,par_4_15,107.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_15,par_4_16,48.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_16,par_4_17,111.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_17,par_4_18,85.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_18,par_4_19,111.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_19,par_4_20,74.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_20,par_4_21,91.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_21,par_4_22,88.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_22,par_4_23,103.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_23,par_4_24,100.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_24,par_4_25,209.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_25,par_4_26,79.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_26,par_4_27,126.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_27,par_4_293,107.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_293,par_4_294,214.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_294,par_4_295,102.0,4__1___,4_I12-001_2023I12_1_1_4__1___
par_4_295,par_4_294,102.0,4__1___,4_I12-001_2023I12_2_1_4__1___
par_4_294,par_4_293,215.0,4__1___,4_I12-001_2023I12_2_1_4__1___
par_4_293,par_4_27,107.0,4__1___,4_I12-001_2023I12_2_1_4__1___
par_4_27,par_4_26,125.0,4__1___,4_I12-001_2023I12_2_1_4__1___
